x ,	 y, 	 r 
61 , 83 , 623666967.1875
62 , 83 , 1057062656.25
63 , 83 , 1469317092.1875
64 , 83 , 1860430275.0
65 , 83 , 803367618.75
200 , 83 , 803367618.75
201 , 83 , 1860430275.0
202 , 83 , 1469317092.1875
203 , 83 , 1057062656.25
204 , 83 , 623666967.1875
61 , 84 , 1057062656.25
62 , 84 , 2494667868.75
63 , 84 , 4228250625.0
64 , 84 , 5877268368.75
65 , 84 , 2706080400.0
66 , 84 , 1099345162.5
199 , 84 , 1099345162.5
200 , 84 , 2706080400.0
201 , 84 , 5877268368.75
202 , 84 , 4228250625.0
203 , 84 , 2494667868.75
204 , 84 , 1057062656.25
61 , 85 , 1469317092.1875
62 , 85 , 4228250625.0
63 , 85 , 6934331025.0
64 , 85 , 9555846412.5
65 , 85 , 5084471376.5625
66 , 85 , 3498877392.1875
199 , 85 , 3498877392.1875
200 , 85 , 5084471376.5625
201 , 85 , 9555846412.5
202 , 85 , 6934331025.0
203 , 85 , 4228250625.0
204 , 85 , 1469317092.1875
61 , 86 , 1860430275.0
62 , 86 , 5877268368.75
63 , 86 , 9555846412.5
64 , 86 , 13149859443.75
65 , 86 , 7441721100.0
66 , 86 , 5877268368.75
199 , 86 , 5877268368.75
200 , 86 , 7441721100.0
201 , 86 , 13149859443.75
202 , 86 , 9555846412.5
203 , 86 , 5877268368.75
204 , 86 , 1860430275.0
61 , 87 , 803367618.75
62 , 87 , 2706080400.0
63 , 87 , 5084471376.5625
64 , 87 , 7441721100.0
65 , 87 , 4492516289.0625
66 , 87 , 4164826865.625
199 , 87 , 4164826865.625
200 , 87 , 4492516289.0625
201 , 87 , 7441721100.0
202 , 87 , 5084471376.5625
203 , 87 , 2706080400.0
204 , 87 , 803367618.75
62 , 88 , 1099345162.5
63 , 88 , 3498877392.1875
64 , 88 , 5877268368.75
65 , 88 , 4164826865.625
66 , 88 , 5285313281.25
199 , 88 , 5285313281.25
200 , 88 , 4164826865.625
201 , 88 , 5877268368.75
202 , 88 , 3498877392.1875
203 , 88 , 1099345162.5
199 , 132 , 5285313281.25
200 , 132 , 4164826865.625
201 , 132 , 8498783756.25
202 , 132 , 8498783756.25
203 , 132 , 8498783756.25
204 , 132 , 4164826865.625
205 , 132 , 5285313281.25
138 , 133 , 623666967.1875
139 , 133 , 1057062656.25
140 , 133 , 1469317092.1875
141 , 133 , 1860430275.0
142 , 133 , 803367618.75
199 , 133 , 4164826865.625
200 , 133 , 3287464860.9375
201 , 133 , 6934331025.0
202 , 133 , 6934331025.0
203 , 133 , 6934331025.0
204 , 133 , 3287464860.9375
205 , 133 , 4164826865.625
308 , 133 , 803367618.75
309 , 133 , 1860430275.0
310 , 133 , 1469317092.1875
311 , 133 , 1057062656.25
312 , 133 , 623666967.1875
138 , 134 , 1057062656.25
139 , 134 , 2494667868.75
140 , 134 , 4228250625.0
141 , 134 , 5877268368.75
142 , 134 , 2706080400.0
143 , 134 , 1099345162.5
199 , 134 , 8498783756.25
200 , 134 , 6934331025.0
201 , 134 , 14206922100.0
202 , 134 , 14206922100.0
203 , 134 , 14206922100.0
204 , 134 , 6934331025.0
205 , 134 , 8498783756.25
307 , 134 , 1099345162.5
308 , 134 , 2706080400.0
309 , 134 , 5877268368.75
310 , 134 , 4228250625.0
311 , 134 , 2494667868.75
312 , 134 , 1057062656.25
138 , 135 , 1469317092.1875
139 , 135 , 4228250625.0
140 , 135 , 6934331025.0
141 , 135 , 9555846412.5
142 , 135 , 5084471376.5625
143 , 135 , 3498877392.1875
199 , 135 , 8498783756.25
200 , 135 , 6934331025.0
201 , 135 , 14206922100.0
202 , 135 , 14206922100.0
203 , 135 , 14206922100.0
204 , 135 , 6934331025.0
205 , 135 , 8498783756.25
307 , 135 , 3498877392.1875
308 , 135 , 5084471376.5625
309 , 135 , 9555846412.5
310 , 135 , 6934331025.0
311 , 135 , 4228250625.0
312 , 135 , 1469317092.1875
138 , 136 , 1860430275.0
139 , 136 , 5877268368.75
140 , 136 , 9555846412.5
141 , 136 , 13149859443.75
142 , 136 , 7441721100.0
143 , 136 , 5877268368.75
199 , 136 , 8498783756.25
200 , 136 , 6934331025.0
201 , 136 , 14206922100.0
202 , 136 , 14206922100.0
203 , 136 , 14206922100.0
204 , 136 , 6934331025.0
205 , 136 , 8498783756.25
307 , 136 , 5877268368.75
308 , 136 , 7441721100.0
309 , 136 , 13149859443.75
